"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2021","35.14","33.14","35.35","32.96","5.73K","6.68%"
"12/27/2020","32.94","32.70","33.61","32.33","1.92K","1.64%"
"12/20/2020","32.41","30.86","32.61","29.98","2.38K","3.35%"
"12/13/2020","31.36","30.83","32.70","30.83","12.06K","1.23%"
"12/06/2020","30.98","30.31","31.77","29.91","26.64K","1.34%"
"11/29/2020","30.57","28.58","30.75","28.53","10.34K","6.93%"
"11/22/2020","28.59","27.66","29.10","27.36","24.08K","5.30%"
"11/15/2020","27.15","27.00","28.20","26.70","11.22K","1.76%"
"11/08/2020","26.68","26.47","27.42","25.83","6.43K","3.21%"
"11/01/2020","25.85","24.00","26.59","23.30","6.53K","6.86%"
"10/25/2020","24.19","25.37","25.37","23.40","7.41K","-6.89%"
"10/18/2020","25.98","25.35","26.05","23.64","10.17K","2.28%"
"10/11/2020","25.40","26.05","26.40","25.17","11.39K","-3.20%"
"10/04/2020","26.24","27.40","28.17","26.07","4.85K","-4.89%"
"09/27/2020","27.59","27.00","28.27","26.65","8.76K","3.14%"
"09/20/2020","26.75","28.47","28.47","26.49","11.34K","-6.73%"
"09/13/2020","28.68","29.35","31.40","28.71","9.77K","-1.07%"
"09/06/2020","28.99","28.27","29.19","27.04","3.69K","3.06%"
"08/30/2020","28.13","30.43","30.43","28.06","5.41K","-7.41%"
"08/23/2020","30.38","27.50","30.69","27.43","9.67K","14.73%"
"08/16/2020","26.48","26.50","27.66","25.95","10.00K","0.46%"
"08/09/2020","26.36","27.96","27.96","25.94","9.13K","-3.51%"
"08/02/2020","27.32","27.45","28.27","26.50","4.11K","0.37%"
"07/26/2020","27.22","27.00","27.69","25.80","8.09K","-0.18%"
"07/19/2020","27.27","27.80","28.26","26.80","11.24K","-5.18%"
"07/12/2020","28.76","30.11","31.35","27.74","9.29K","-3.43%"
"07/05/2020","29.78","29.45","30.52","28.61","1.43K","3.98%"
"06/28/2020","28.64","25.59","28.80","25.50","3.50K","12.49%"
"06/21/2020","25.46","24.56","26.42","24.56","4.58K","2.17%"
"06/14/2020","24.92","22.44","25.30","22.43","1.54K","9.39%"
"06/07/2020","22.78","23.52","23.63","22.66","1.15K","-5.16%"
"05/31/2020","24.02","22.07","23.91","21.74","2.51K","8.30%"
"05/24/2020","22.18","22.24","22.95","21.70","5.34K","-0.05%"
"05/17/2020","22.19","20.30","22.27","20.20","8.28K","11.17%"
"05/10/2020","19.96","19.88","20.00","19.20","3.27K","-1.04%"
"05/03/2020","20.17","19.81","20.50","19.59","2.69K","1.87%"
"04/26/2020","19.80","21.74","21.74","19.85","3.37K","-8.04%"
"04/19/2020","21.53","22.20","22.28","20.28","5.82K","-4.23%"
"04/12/2020","22.48","21.22","23.00","19.74","4.53K","2.84%"
"04/05/2020","21.86","19.20","22.49","19.20","1.47K","16.71%"
"03/29/2020","18.73","17.22","19.12","17.22","0.71K","9.47%"
"03/22/2020","17.11","15.60","18.29","15.15","11.84K","1.60%"
"03/15/2020","16.84","22.00","22.00","16.01","19.87K","-24.75%"
"03/08/2020","22.38","23.57","24.39","22.40","3.51K","-6.08%"
"03/01/2020","23.83","24.42","24.51","23.71","5.87K","-0.79%"
"02/23/2020","24.02","25.51","25.51","23.61","1.53K","-7.72%"
"02/16/2020","26.03","24.64","26.11","24.64","1.22K","5.34%"
"02/09/2020","24.71","23.71","25.02","23.39","0.61K","4.04%"
"02/02/2020","23.75","24.15","24.26","23.35","3.03K","-2.30%"
"01/26/2020","24.31","24.70","25.05","23.90","6.98K","-2.25%"
"01/19/2020","24.87","25.81","26.10","24.80","3.84K","-4.24%"
"01/12/2020","25.97","24.55","25.81","24.20","1.55K","5.01%"
"01/05/2020","24.73","24.95","25.20","24.57","0.74K","-3.02%"
"12/29/2019","25.50","26.77","26.77","25.34","0.15K","-6.42%"
"12/22/2019","27.25","27.55","27.59","27.55","0.03K","0.15%"
"12/15/2019","27.21","24.74","27.40","24.74","0.43K","10.12%"
"12/08/2019","24.71","25.33","26.23","25.00","0.80K","-3.78%"
"12/01/2019","25.68","25.70","25.70","24.58","0.81K","-1.00%"
"11/24/2019","25.94","25.02","25.88","24.93","0.79K","2.49%"
"11/17/2019","25.31","24.18","24.84","24.08","0.16K","3.01%"
"11/10/2019","24.57","25.85","25.89","24.17","1.72K","-3.87%"
"11/03/2019","25.56","25.81","26.67","25.35","0.55K","-1.77%"
"10/27/2019","26.02","25.66","26.74","25.56","1.03K","0.85%"
"10/20/2019","25.80","26.60","26.60","25.55","1.65K","-3.73%"
"10/13/2019","26.80","24.82","26.98","24.82","2.67K","5.68%"
"10/06/2019","25.36","23.83","24.84","23.10","1.83K","6.06%"
"09/29/2019","23.91","26.14","26.17","24.10","3.85K","-9.23%"
"09/22/2019","26.34","27.01","27.01","26.17","0.55K","-4.53%"
"09/15/2019","27.59","27.92","28.10","26.31","1.34K","0.77%"
"09/08/2019","27.38","26.16","28.34","25.95","2.26K","5.11%"
"09/01/2019","26.05","26.94","26.94","25.90","2.87K","-4.82%"
"08/25/2019","27.37","26.71","27.60","26.71","0.41K","4.31%"
"08/18/2019","26.24","27.91","27.91","25.92","0.07K","-3.35%"
"08/11/2019","27.15","29.34","29.34","27.30","1.53K","-7.53%"
"08/04/2019","29.36","30.05","30.15","29.42","1.71K","-4.08%"
"07/28/2019","30.61","29.50","30.73","29.44","0.61K","2.89%"
"07/21/2019","29.75","30.60","31.22","30.15","1.32K","-2.07%"
"07/14/2019","30.38","30.66","31.02","29.47","1.24K","0.40%"
"07/07/2019","30.26","28.22","29.94","27.97","2.27K","9.36%"
"06/30/2019","27.67","28.10","28.44","27.10","2.31K","0.62%"
"06/23/2019","27.50","26.71","28.65","26.71","1.88K","4.09%"
"06/16/2019","26.42","26.15","26.42","25.99","2.36K","1.03%"
"06/09/2019","26.15","25.87","26.09","25.86","0.16K","1.91%"
"06/02/2019","25.66","25.10","25.70","24.98","3.62K","0.83%"
"05/26/2019","25.45","26.02","26.94","25.68","0.33K","-3.74%"
"05/19/2019","26.44","26.18","27.08","26.18","0.62K","1.85%"
"05/12/2019","25.96","26.60","26.60","26.53","0.57K","-2.48%"
"05/05/2019","26.62","26.80","27.65","26.80","0.61K","1.26%"
"04/28/2019","26.29","27.11","27.53","25.69","2.01K","-2.95%"
"04/21/2019","27.09","27.09","27.09","27.09","2.06K","-3.73%"
"04/14/2019","28.14","28.33","28.36","27.84","1.58K","1.15%"
"04/07/2019","27.82","25.99","28.11","25.99","5.36K","7.41%"
"03/31/2019","25.90","22.46","25.60","22.46","1.78K","13.50%"
"03/24/2019","22.82","21.95","23.63","21.95","1.09K","3.77%"
"03/17/2019","21.99","22.45","23.15","21.92","0.56K","-8.07%"
"03/10/2019","23.92","23.80","24.28","23.46","1.60K","-2.45%"
"03/03/2019","24.52","24.50","24.97","23.75","0.30K","3.33%"
"02/24/2019","23.73","20.63","20.76","20.55","1.34K","16.15%"
"02/17/2019","20.43","22.20","22.20","20.23","1.65K","-7.30%"
"02/10/2019","22.04","22.30","22.60","21.74","1.12K","-7.82%"
"02/03/2019","23.91","23.08","25.05","23.08","0.21K","1.53%"
"01/27/2019","23.55","25.06","25.09","24.45","2.63K","-8.29%"
"01/20/2019","25.68","26.28","26.60","25.28","0.90K","-3.57%"
"01/13/2019","26.63","24.32","25.63","24.32","6.99K","8.61%"
"01/06/2019","24.52","24.23","24.88","23.95","4.36K","-4.44%"
"12/30/2018","25.66","25.45","25.77","25.41","0.37K","-5.03%"
